index,id,size,loc,rooms,bathrooms,year,price,crime,salary
44,44,370,3165,3,5,48,1230500,9,60
45,45,440,5925,8,2,2,1529000,2,20
46,46,470,7010,3,5,0,1790500,5,60
47,47,240,8468,2,6,41,950000,5,20
48,48,330,2443,7,5,63,1124500,5,80
49,49,340,567,2,7,11,1510500,7,50
50,50,920,5066,8,1,6,2273500,3,80
51,51,330,7046,8,1,52,913500,1,20
52,52,920,3415,9,8,91,1123000,2,20
53,53,100,1214,4,8,58,743000,5,40
54,54,310,2775,8,7,65,1156500,9,90
55,55,500,6518,10,11,20,1790500,7,90
56,56,280,2951,3,5,38,1270500,5,70
57,57,190,4236,6,2,73,717000,2,50
58,58,310,514,3,9,25,1452500,9,70
59,59,330,1648,1,2,97,617000,3,50
60,60,700,5639,2,10,42,1517000,8,40
61,61,610,1071,5,1,19,1670500,1,50
62,62,330,6193,5,4,69,1122000,7,90
63,63,870,4142,7,4,23,2094000,1,90
64,64,160,3434,8,4,87,720000,6,80
65,65,480,2658,3,4,35,1335000,2,40
66,66,550,4788,9,5,4,1856500,9,60
67,67,400,8125,3,9,13,1372500,1,20
68,68,460,2832,8,3,13,1604500,5,50
69,69,760,560,11,9,53,1730500,9,90
70,70,620,1151,9,11,74,1194500,2,60
71,71,290,8502,6,1,24,1376500,6,60
72,72,430,1562,6,3,53,1002500,1,20
73,73,850,7222,5,10,88,1085000,3,20
74,74,220,6850,1,1,85,536500,5,30
75,75,400,7682,9,5,15,1666500,3,80
76,76,620,4766,2,9,24,1631500,1,50
77,77,360,2868,9,2,21,1420000,4,50
78,78,90,9605,10,10,17,1175000,10,40
79,79,170,2454,9,9,27,1038500,7,20
80,80,660,8815,7,8,32,1451000,2,20
81,81,160,4277,4,4,65,961000,1,90
82,82,560,9134,6,3,7,1612500,5,20
83,83,980,5827,8,2,55,1759000,6,60
84,84,520,5349,9,10,85,904000,6,40
85,85,60,3287,6,8,61,715000,3,50
86,86,180,8698,2,9,34,1246500,2,80
87,87,460,3278,1,1,34,1406500,9,50
88,88,780,6430,8,7,21,1751500,6,30
89,89,290,7285,4,1,87,664500,10,40
90,90,460,7933,6,2,65,1012000,1,40
91,91,890,3452,2,7,53,1515500,2,30
92,92,670,6043,8,2,74,1289000,2,70
93,93,410,1148,3,6,39,1156000,8,20
94,94,800,5587,4,8,43,1593000,5,40
95,95,180,2063,9,11,30,1374500,8,90
96,96,300,3697,8,8,74,1032000,4,90
97,97,140,4286,11,4,2,1363000,8,40
98,98,940,9392,2,6,37,2055000,8,90
99,99,400,7679,3,5,74,1005500,10,60
100,100,360,522,3,6,13,1466000,8,40
101,101,200,1122,7,6,53,995000,5,60
102,102,420,9997,11,9,71,995500,6,50
103,103,550,812,10,7,10,1783500,6,60
104,104,180,7387,9,10,53,1044000,8,70
105,105,200,2895,2,3,33,1233500,4,70
106,106,50,8452,11,2,91,252000,2,20
107,107,930,5330,10,8,88,1399000,9,60
108,108,410,2629,8,9,63,1057500,5,50
109,109,670,2664,7,10,60,1417000,9,60
110,110,930,5732,6,2,83,1592000,9,90
111,111,210,8704,4,9,45,1228500,4,90
112,112,300,9312,6,6,25,1379000,6,60
113,113,620,5261,2,11,11,1722500,3,40
114,114,910,6893,10,4,46,1727000,5,50
115,115,210,1321,10,5,57,1127500,7,90
116,116,860,9463,9,10,33,1734000,10,30
117,117,860,5520,5,1,23,1885500,2,50
118,118,110,3158,11,8,37,970000,5,40
119,119,520,3070,10,8,13,1744000,10,60
120,120,970,6614,1,11,52,1796500,10,60
121,121,670,3248,5,7,39,1383500,1,20
122,122,980,9208,3,10,14,2228000,8,70
123,123,960,3597,3,7,49,1916500,10,80
124,124,290,9357,6,10,4,1711000,2,90
125,125,570,4444,1,1,40,1381500,4,40
126,126,290,7202,6,7,38,1369500,2,90
127,127,440,5778,10,4,34,1382000,6,50
128,128,870,5809,3,10,94,1043000,3,20
129,129,140,4515,10,9,92,369500,9,20
130,130,780,6964,11,6,88,1124000,4,40
131,131,890,8005,5,8,31,2014000,7,80
132,132,350,2425,11,7,88,729500,1,50
133,133,220,3731,1,2,8,1362000,6,40
134,134,960,9753,7,3,80,1548500,8,70
135,135,370,4233,7,7,13,1440500,10,30
136,136,640,922,1,5,62,1288500,5,50
137,137,820,8560,10,6,42,1883000,6,90
138,138,300,6363,11,4,66,1043000,10,70
139,139,480,6484,6,3,57,1167500,2,50
140,140,330,7828,7,2,36,1283000,3,60
141,141,480,8932,8,5,7,1670500,2,50
142,142,330,2102,4,6,90,757000,6,60
143,143,510,9823,3,3,36,1624500,6,90
144,144,50,5321,6,8,8,1395000,5,80
145,145,940,13,10,7,47,1893500,4,80
146,146,880,1275,5,11,27,1865500,1,50
147,147,970,3723,10,3,97,1171500,4,30
148,148,310,6616,3,7,36,1151500,1,40
149,149,780,5445,1,5,66,1593500,6,90
150,150,490,4446,4,3,84,1005500,2,70
151,151,500,2002,3,1,74,1028500,5,50
152,152,560,369,5,2,70,1146000,8,50
153,153,740,610,7,6,86,1120000,8,40
154,154,360,2569,10,3,57,1271500,6,90
155,155,890,2855,11,6,25,1884000,8,40
156,156,280,4635,8,5,25,1355500,5,60
157,157,560,6520,10,5,18,1837500,1,90
158,158,180,9857,11,4,8,1308000,1,40
159,159,190,9367,6,10,26,1061000,6,20
160,160,590,3410,6,10,71,1281000,10,70
161,161,900,2325,10,1,33,1865500,9,50
162,162,880,1706,3,2,17,1934000,6,40
163,163,860,1816,7,9,98,1286500,1,80
164,164,690,7322,11,7,32,1804500,6,80
165,165,870,7295,7,9,0,1996500,5,20
166,166,870,3047,4,4,64,1616000,8,70
167,167,830,8579,4,4,88,1076000,6,20
168,168,710,7550,8,2,32,1599000,2,40
169,169,650,3493,2,7,60,1545500,10,90
170,170,730,5182,7,11,22,1712500,10,30
171,171,400,1830,11,2,81,882000,8,50
172,172,830,6473,9,9,28,1908500,1,70
173,173,600,1338,10,4,34,1442000,6,30
174,174,400,1584,8,7,23,1671500,10,90
175,175,950,6026,10,3,45,1741500,8,40
176,176,710,2599,10,3,58,1566500,7,80
177,177,380,4894,9,3,16,1675500,1,90
178,178,50,8466,11,3,6,1312500,4,60
179,179,400,2405,11,4,2,1618000,7,40
180,180,410,1518,11,7,73,1029500,9,60
181,181,670,4945,4,8,44,1613000,7,70
182,182,530,3186,7,6,5,1670000,8,30
183,183,110,4352,3,11,68,878500,10,80
184,184,830,3561,4,3,40,1765500,8,60
185,185,770,1394,5,7,60,1278500,2,20
186,186,170,3695,2,6,65,995000,6,90
187,187,240,8653,1,10,44,1201000,1,80
188,188,820,3570,8,1,66,1263500,1,20
189,189,440,7937,8,10,19,1683000,6,80
190,190,830,7629,6,6,30,1884000,1,70
191,191,820,6022,2,11,21,1717500,2,20
192,192,290,7373,4,2,58,1010000,1,60
193,193,420,727,7,10,27,1447000,9,50
194,194,370,9342,9,5,22,1436500,7,50
195,195,420,3862,1,3,75,1092500,6,80
196,196,420,1929,3,4,36,1275000,4,40
197,197,790,8019,7,8,75,1331000,8,50
198,198,830,2567,2,8,45,1751000,5,70
199,199,540,7215,10,10,99,980000,5,80
200,200,230,2335,8,9,76,952500,6,90
201,201,560,2315,9,10,53,1209000,5,30
202,202,280,8584,7,8,62,941000,6,50
203,203,380,8101,2,2,74,783000,10,20
204,204,50,1346,3,5,10,1080500,7,20
205,205,740,9762,10,4,7,2117000,9,80
206,206,490,7902,9,9,50,1353500,2,70
207,207,650,7790,5,4,24,1807000,10,70
208,208,770,3361,7,6,72,1260000,2,40
209,209,300,1663,2,4,81,739000,1,50
210,210,260,54,1,11,2,1501500,3,50
211,211,290,999,1,8,82,750000,7,50
212,212,520,4879,7,3,47,1173500,5,20
213,213,200,3514,8,10,14,1338000,5,50
214,214,990,1063,6,11,69,1621500,4,60
215,215,460,5022,9,5,95,901500,8,70
216,216,810,2298,1,9,88,1340500,3,80
217,217,120,9396,10,9,88,489500,9,40
218,218,470,5650,7,3,4,1548500,4,20
219,219,520,1894,8,10,46,1273000,2,40
220,220,640,8866,6,4,72,1368000,10,80
221,221,280,5592,9,7,95,467500,7,20
222,222,370,4876,2,10,53,1142000,1,60
223,223,380,5224,1,4,40,1103000,6,20
224,224,610,8006,7,3,27,1518500,6,30
225,225,100,6713,11,2,46,777000,7,20
226,226,240,4260,5,9,62,769500,10,20
227,227,50,3648,11,11,88,416500,8,40
228,228,330,337,4,10,45,1329000,10,80
229,229,640,3194,10,10,2,1950000,5,60
230,230,510,3229,10,1,62,1040500,10,20
231,231,50,1298,9,5,91,351500,2,40
232,232,750,5713,8,6,1,1906000,3,30
233,233,700,9443,1,9,99,1035500,6,60
234,234,970,6391,1,1,96,1221500,4,40
235,235,890,3292,2,3,12,1933500,4,30
236,236,570,1289,5,4,87,802000,1,20
237,237,250,2562,1,8,54,1150000,9,80
238,238,290,5077,2,4,5,1474000,8,40
239,239,220,3758,5,4,29,1252000,5,60
240,240,710,7368,11,5,40,1663500,10,60
241,241,330,3160,3,1,14,1453500,4,50
242,242,640,5058,10,1,92,840500,4,20
243,243,890,5821,3,9,49,1707500,2,60
244,244,360,5652,4,6,70,1077000,4,80
245,245,90,8070,5,2,33,1106000,10,60
246,246,420,9434,10,3,58,1201500,2,70
247,247,520,2302,6,10,21,1716000,1,80
248,248,900,4194,4,5,90,1476500,6,90
249,249,380,4231,11,8,53,1150000,9,50
250,250,380,2160,1,4,36,1118000,1,20
251,251,730,2997,11,8,27,1750000,7,50
252,252,60,5568,8,4,57,655000,3,30
253,253,580,6406,9,5,41,1661500,8,90
254,254,970,7012,8,4,53,1660000,4,40
255,255,960,7357,11,8,67,1665000,4,70
256,256,520,5730,3,7,72,1236500,8,80
257,257,860,2888,8,2,86,1374000,5,70
258,258,860,9387,5,9,92,1424500,7,90
259,259,850,5542,11,3,24,1857500,9,40
260,260,540,3086,7,5,31,1509500,6,50
261,261,170,7931,10,4,54,1012000,6,70
262,262,570,6927,2,1,53,1187500,1,30
263,263,720,5852,11,7,56,1624500,2,90
264,264,470,5859,9,11,67,1234500,6,80
265,265,560,5346,10,6,31,1438000,7,30
266,266,210,3016,8,3,16,1344500,9,50
267,267,790,3575,4,1,11,1909500,7,40
268,268,440,1573,8,5,33,1245500,7,20
269,269,580,7423,5,1,34,1690500,1,90
270,270,810,3712,7,5,25,1724500,3,30
271,271,580,3017,4,8,93,953000,1,60
272,272,960,3439,7,9,10,2201500,8,60
273,273,340,6871,1,4,82,758000,9,40
274,274,160,7568,3,3,46,1104500,2,80
275,275,440,8578,4,2,47,1455000,8,90
276,276,150,6345,7,10,42,1192000,2,90
277,277,110,6797,10,8,99,619000,9,90
278,278,50,4673,2,5,47,689500,3,20
279,279,650,247,2,10,17,1827000,10,60
280,280,690,3201,4,8,95,963000,5,40
281,281,540,6591,9,2,80,890000,10,20
282,282,90,8997,11,4,52,978000,1,80
283,283,710,6902,11,4,70,1413000,10,70
284,284,730,8731,4,10,57,1314000,1,30
285,285,350,5770,1,4,99,603000,10,40
286,286,420,4974,3,11,55,1313500,9,80
287,287,410,1791,8,9,1,1632500,6,40
288,288,410,6833,2,6,67,985000,10,40
289,289,230,9025,1,8,53,1175000,6,90
290,290,580,9,3,10,74,1193000,1,70
291,291,570,6430,1,11,55,1196500,6,30
292,292,260,9662,8,1,59,1018500,10,60
293,293,560,3078,7,10,75,1157000,9,60
294,294,590,2601,10,3,15,1556500,3,20
295,295,260,4034,5,7,49,1038500,4,50
296,296,670,7514,1,10,50,1561000,9,70
297,297,440,8150,9,2,93,665000,1,30
298,298,400,6975,4,11,3,1844500,5,90
299,299,580,5775,9,3,25,1685500,1,70
300,300,280,9946,2,1,34,1107500,5,30
301,301,320,9327,6,9,44,1350500,4,90
302,302,560,5943,5,1,5,1665500,2,30
303,303,460,8159,5,8,56,1394000,9,90
304,304,480,1495,1,7,46,1489500,5,90
305,305,260,8271,2,10,1,1492000,9,40
306,306,640,1012,6,11,71,1126500,9,30
307,307,780,3790,1,10,17,1891000,7,50
308,308,660,2716,4,6,26,1707000,2,60
309,309,350,470,4,7,33,1482500,3,90
310,310,110,9484,6,9,46,850500,10,30
311,311,680,9008,7,7,69,1170500,6,30
312,312,260,8288,6,5,94,748500,6,80
313,313,790,1819,6,5,56,1713500,7,90
314,314,960,1359,11,2,59,1702000,6,60
315,315,90,5913,8,11,4,1173500,4,20
316,316,380,356,2,11,69,912500,5,40
317,317,240,1985,11,7,71,904500,4,70
318,318,330,3675,6,5,30,1293500,3,50
319,319,560,3812,6,5,54,1343500,5,60
320,320,650,8524,3,3,13,1779500,3,50
321,321,830,182,2,5,99,984500,10,20
322,322,200,5312,7,2,48,1053000,7,60
323,323,780,615,6,4,36,1758000,8,60
324,324,730,4643,6,2,86,1207000,8,60
325,325,790,8158,2,9,68,1266500,2,30
326,326,280,6047,10,9,6,1649500,5,80
327,327,150,947,2,1,71,597500,3,30
328,328,610,7117,8,5,54,1275500,1,40
329,329,300,1520,2,9,20,1231500,7,20
330,330,810,1092,4,1,60,1494500,8,50
331,331,510,9845,11,9,64,1080500,1,40
332,332,260,4796,11,11,28,1451500,3,90
333,333,960,8116,11,7,76,1419500,3,40
334,334,340,6083,9,3,81,920500,8,70
335,335,640,1032,9,8,3,1888000,5,50
336,336,50,2009,10,9,62,849500,3,80
337,337,440,7408,3,8,13,1697000,8,70
338,338,160,1916,10,11,73,930500,9,90
339,339,720,6709,10,9,98,869500,5,20
340,340,190,6271,2,5,85,699500,3,70
341,341,490,129,6,2,6,1822000,9,70
342,342,810,6154,8,3,28,1874500,9,60
343,343,270,4676,4,9,98,603500,3,60
344,344,630,9209,3,10,34,1508000,4,40
345,345,660,348,7,2,30,1788000,6,80
346,346,820,4429,8,8,19,1877000,9,40
347,347,840,8023,1,11,98,1076500,4,40
348,348,980,4125,6,6,15,2229000,10,70
349,349,140,3819,6,8,98,625000,3,90
350,350,290,2659,2,11,61,1042500,3,70
351,351,140,47,6,11,8,1466500,1,80
352,352,60,5246,1,6,91,604000,2,90
353,353,670,493,11,5,46,1703500,8,90
354,354,340,8597,11,8,37,1320000,9,60
355,355,310,439,8,6,24,1261000,8,30
356,356,380,2295,10,4,50,1057000,5,30
357,357,850,890,11,6,20,1864000,2,40
358,358,580,7208,9,4,9,1836000,9,60
359,359,180,1788,6,11,62,696500,7,20
360,360,470,4025,8,5,68,1095500,1,60
361,361,990,6529,2,3,93,1318500,3,50
362,362,220,450,2,11,60,952500,7,60
363,363,380,1083,5,9,72,954500,9,50
364,364,640,1384,6,9,22,1915500,9,90
365,365,70,4289,7,3,51,868500,2,60
366,366,800,7383,10,4,19,2012000,10,70
367,367,110,178,10,4,58,977000,9,80
368,368,910,1043,5,1,39,1870500,1,70
369,369,500,933,2,5,18,1534500,4,40
370,370,560,2498,2,1,5,1762500,2,50
371,371,930,4827,7,8,58,1776000,5,80
372,372,850,1378,9,5,3,2276500,1,90
373,373,160,9438,11,4,70,723000,2,50
374,374,850,6565,2,5,91,1374500,8,80
375,375,170,6149,6,10,90,771000,10,90
376,376,920,3153,11,11,83,1376500,6,50
377,377,110,7299,8,1,62,663500,5,30
378,378,770,4249,3,4,35,1770000,1,70
379,379,980,5649,3,2,94,1354000,4,60
380,380,780,6997,11,10,12,1921000,1,50
381,381,680,6226,4,5,79,1321500,7,80
382,382,810,8558,2,5,73,1349500,5,50
383,383,100,1190,11,11,16,1296500,10,60
384,384,510,2302,3,3,45,1459500,1,80
385,385,620,9480,5,2,0,1791000,5,30
386,386,110,8624,7,5,91,684500,7,90
387,387,300,3574,3,4,54,1115000,2,70
388,388,550,20,2,10,53,1392000,5,70
389,389,930,8012,1,7,29,1799500,3,30
390,390,490,4452,9,3,43,1235500,5,30
391,391,180,975,7,7,29,1285500,9,70
392,392,720,9091,2,8,45,1521000,1,50
393,393,410,5534,1,7,73,1164500,8,90
394,394,180,2854,1,3,77,757500,1,70
395,395,100,6388,3,2,69,589000,7,30
396,396,930,978,2,2,85,1548000,5,90
397,397,230,6780,4,9,91,678500,2,70
398,398,190,6478,2,8,93,466000,2,40
399,399,140,4991,1,2,56,722000,10,20
400,400,270,2891,4,1,66,859500,1,50
401,401,870,5599,11,1,1,2146500,7,50
402,402,670,4171,1,8,34,1575000,10,40
403,403,510,2642,11,4,88,1068000,7,80
404,404,250,9060,4,2,57,895000,4,40
405,405,180,8755,10,11,67,685500,4,30
406,406,230,3679,11,7,26,1094500,4,20
407,407,100,2270,11,6,0,1549000,9,80
408,408,360,4532,8,3,86,749500,10,40
409,409,70,5919,1,8,70,860000,9,90
410,410,130,8386,6,1,71,551500,7,20
411,411,880,8791,9,9,25,1798500,3,30
412,412,650,1528,11,2,94,867000,1,30
413,413,300,5238,2,6,23,1275000,2,40
414,414,180,799,1,10,32,1241000,7,70
415,415,630,4100,2,1,33,1762500,4,90
416,416,590,7806,1,8,1,1740000,3,30
417,417,540,5324,5,11,66,1060500,6,30
418,418,910,1831,3,2,17,2184000,10,80
419,419,780,5382,9,1,70,1494500,3,80
420,420,760,2741,10,10,13,1825000,8,30
421,421,80,6282,2,8,41,1021000,1,70
422,422,670,8549,9,2,71,1430000,4,90
423,423,670,6233,5,7,87,1293500,9,90
424,424,390,9530,5,8,90,689000,10,30
425,425,770,180,11,3,39,1822500,8,80
426,426,630,4071,7,11,45,1422500,8,40
427,427,480,4274,11,3,28,1627500,5,80
428,428,320,8687,4,7,20,1597500,6,90
429,429,50,6665,2,1,47,782500,2,40
430,430,310,4429,8,5,27,1285500,9,40
431,431,460,9012,1,8,76,865000,4,30
432,432,730,3999,6,8,90,1185000,1,70
433,433,330,2318,9,9,63,1073500,4,70
434,434,660,2019,9,6,50,1537000,5,70
435,435,340,708,8,3,74,794500,9,30
436,436,600,4790,10,9,66,1329500,7,70
437,437,840,6026,3,4,71,1365000,8,40
438,438,750,1468,1,11,40,1616500,4,50
439,439,620,2666,9,7,4,1692500,2,20
440,440,690,4169,10,3,40,1741500,10,80
441,441,970,9219,7,9,71,1721500,2,90
442,442,650,9922,7,4,98,1164000,9,90
443,443,350,6013,7,9,18,1356500,7,30
444,444,600,6682,5,11,31,1500500,2,40
445,445,690,5893,10,6,60,1358000,3,50
446,446,240,1067,2,2,21,1338000,3,60
447,447,260,8287,8,2,80,839000,6,70
448,448,780,1608,10,3,74,1531500,8,90
449,449,140,6769,1,5,96,388500,3,40
450,450,690,2811,9,11,44,1479500,5,40
451,451,70,3206,2,3,53,798500,3,50
452,452,60,5742,9,6,19,1242000,4,70
453,453,80,6554,9,10,91,629000,1,90
454,454,60,9246,4,7,58,862500,7,70
455,455,920,3769,7,5,76,1409500,10,40
456,456,80,7719,1,3,91,387500,5,40
457,457,680,7200,2,11,41,1407500,8,20
458,458,920,3311,9,1,21,2074500,3,70
459,459,380,728,9,11,2,1659500,9,50
460,460,990,9532,4,1,78,1599500,9,70
461,461,570,9929,4,7,20,1612500,9,40
462,462,710,7750,4,7,50,1442500,7,40
463,463,70,7242,11,11,74,756500,4,80
464,464,280,2839,7,6,41,1230000,2,70
465,465,630,4354,6,11,15,1596500,3,20
466,466,400,654,5,2,45,1216000,4,50
467,467,450,3595,11,1,71,1101500,2,70
468,468,660,4993,10,7,30,1698500,7,60
469,469,520,7553,9,1,37,1474500,5,60
470,470,570,5475,1,3,6,2002500,10,90
471,471,770,2579,6,9,3,2095500,1,70
472,472,480,5509,10,10,2,1845000,6,70
473,473,700,661,11,4,29,1633000,4,40
474,474,110,6713,4,2,74,500000,7,20
475,475,240,8079,1,6,61,1094000,4,90
476,476,270,3465,1,6,63,739000,1,20
477,477,800,1124,2,11,7,1847500,4,20
478,478,820,7222,7,1,56,1372500,3,20
479,479,330,2123,3,10,98,523000,5,30
480,480,510,9839,3,11,58,1153500,5,40
481,481,450,3621,8,8,30,1322000,4,30
482,482,810,2508,8,3,85,1144500,7,30
483,483,140,6000,8,5,58,710500,10,20
484,484,350,6049,6,9,5,1740500,8,80
485,485,890,4229,1,6,36,1704000,6,30
486,486,660,3083,5,10,2,1835000,9,30
487,487,90,8096,11,2,27,1207000,7,70
488,488,970,1516,1,2,29,2132000,2,90
489,489,630,8931,5,11,58,1330500,6,50
490,490,330,8695,4,5,68,986500,8,60
491,491,460,3711,7,5,35,1224500,3,20
492,492,870,3486,11,2,35,1922000,10,70
493,493,580,2671,6,10,16,1711000,8,50
494,494,990,4618,11,4,88,1373000,2,50
495,495,680,2865,5,4,98,1082000,7,70
496,496,670,7837,2,2,59,1303000,6,40
497,497,780,6278,9,2,33,1625000,5,30
498,498,330,3252,11,2,17,1587000,5,80
499,499,360,7867,4,7,78,917500,8,60
500,500,800,5050,10,10,7,2190000,1,90
501,501,130,1551,5,3,24,1061500,5,30
502,502,720,35,7,3,2,2093500,9,70
503,503,170,4068,5,4,54,842000,3,40
504,504,400,1037,1,10,42,1091000,3,20
505,505,820,3272,3,7,30,1831500,3,60
506,506,480,6004,11,11,52,1231500,3,50
507,507,280,8941,11,9,9,1445500,10,40
508,508,760,7548,4,4,4,1871000,1,30
509,509,920,6647,7,6,38,1695000,1,30
510,510,850,8488,8,10,74,1318000,1,40
511,511,410,8286,4,11,84,759500,8,30
512,512,310,3195,9,3,63,1150500,4,90
513,513,150,8351,9,10,12,1489000,1,90
514,514,220,7157,4,9,29,1048500,4,20
515,515,890,5437,11,5,51,1743500,2,70
516,516,950,7274,3,6,80,1606000,2,90
517,517,860,13,2,10,76,1517000,4,80
518,518,410,7305,6,8,68,1065000,7,60
519,519,800,4510,6,1,76,1201500,3,30
520,520,680,3078,5,5,72,1302500,9,60
521,521,380,4803,4,9,12,1543500,7,50
522,522,860,450,3,2,84,1349000,7,60
523,523,470,9880,4,7,11,1727500,4,70
524,524,200,2832,9,8,26,1218000,5,50
525,525,520,2041,8,3,38,1374500,7,40
526,526,630,2268,3,7,98,791500,9,20
527,527,880,1557,8,6,36,1956000,7,80
528,528,870,5346,5,1,21,1840500,7,30
529,529,430,8079,6,7,50,1399500,4,90
530,530,590,8261,10,7,74,1288500,7,80
531,531,60,7716,1,1,53,656500,7,20
532,532,850,5678,8,8,10,2237000,7,90
533,533,160,37,2,6,47,985000,10,50
534,534,490,5993,8,10,23,1673000,2,80
535,535,530,7362,1,9,68,1140500,9,50
536,536,390,1045,10,11,51,1240500,1,70
537,537,110,9029,5,8,61,689000,8,30
538,538,480,5322,1,7,86,1064500,10,80
539,539,290,218,1,5,28,1378500,5,70
540,540,470,8844,4,11,10,1519500,10,20
541,541,460,350,1,11,33,1591500,3,90
542,542,720,5188,11,10,45,1681000,1,80
543,543,230,2091,2,2,70,668000,9,20
544,544,380,863,7,3,45,1333500,1,80
545,545,230,3606,5,4,58,942000,9,50
546,546,270,8988,6,4,20,1318000,10,40
547,547,260,5130,5,2,63,1036000,2,80
548,548,430,1760,5,1,3,1860500,3,90
549,549,230,6905,10,5,92,797500,7,90
550,550,220,3242,10,4,19,1287000,1,50
551,551,180,1981,11,4,49,1163000,4,90
552,552,950,5900,1,3,16,1967500,7,30
553,553,530,243,5,4,80,1012000,7,50
554,554,110,5822,7,11,23,1192500,2,60
555,555,640,8547,10,10,67,1355000,6,70
556,556,850,3877,10,11,63,1565500,8,60
557,557,110,1064,10,5,36,1052500,10,50
558,558,750,1997,5,10,99,1190000,6,80
559,559,960,5204,3,6,10,2196000,8,60
560,560,910,7956,6,9,33,1705500,5,20
561,561,140,4272,2,7,74,570500,5,30
562,562,140,7846,3,2,55,964000,6,70
563,563,320,1838,10,11,48,1210500,3,70
564,564,540,5001,3,1,82,948500,7,40
565,565,600,5975,1,9,76,1075500,8,40
566,566,400,6890,5,8,15,1609000,2,70
567,567,870,801,11,6,38,1924000,6,80
568,568,960,5332,1,2,4,2317000,1,80
569,569,440,5131,8,6,43,1151000,8,20
570,570,790,8956,2,6,6,1960000,7,40
571,571,530,6528,9,7,48,1172500,4,20
572,572,440,7608,8,4,88,810000,10,40
573,573,490,1739,7,10,51,1167000,7,30
574,574,220,405,10,11,64,965500,6,70
575,575,810,9411,10,1,97,965500,5,20
576,576,850,7079,5,10,11,2005000,3,50
577,577,80,1870,2,4,49,764000,6,30
578,578,640,7701,11,4,30,1723000,6,70
579,579,390,1951,11,6,79,1064000,2,90
580,580,200,4235,4,2,67,735000,2,40
581,581,350,4227,7,5,59,979500,4,40
582,582,950,3054,8,3,61,1834500,9,90
583,583,630,1483,11,10,3,1931000,5,60
584,584,970,8594,1,4,10,2128000,3,50
585,585,90,343,1,2,13,1287000,7,60
586,586,50,3103,10,5,98,292500,4,40
587,587,500,3337,3,6,35,1501000,1,70
588,588,540,1903,2,1,0,1677500,9,20
589,589,320,8395,8,11,70,1063500,8,80
590,590,550,8964,3,3,44,1559500,1,90
591,591,910,7265,7,5,11,1994500,9,30
592,592,420,4006,10,1,22,1645500,9,80
593,593,760,2533,4,5,9,1816500,10,20
594,594,400,6505,2,1,5,1457500,3,20
595,595,390,6424,2,10,39,1262000,3,50
596,596,990,2560,9,8,57,1783000,2,70
597,597,580,3310,7,4,52,1509000,10,80
598,598,370,9726,10,7,15,1363500,8,20
599,599,310,372,2,8,99,486000,4,30
600,600,850,5619,7,7,86,1285500,9,50
601,601,810,5846,2,5,48,1779500,1,90
602,602,860,1506,8,1,46,1858500,2,90
603,603,710,3757,9,9,27,1908500,3,90
604,604,60,4342,1,11,78,496500,4,40
605,605,490,4889,11,11,22,1766500,8,90
606,606,420,8786,1,9,16,1660500,1,80
607,607,560,115,4,9,59,1248500,6,50
608,608,840,85,3,3,17,2134500,4,90
609,609,560,6535,8,10,97,1028000,7,80
610,610,570,1605,7,8,29,1701000,4,80
611,611,290,4185,1,1,65,951500,4,60
612,612,160,5312,3,7,59,901500,7,60
613,613,360,6928,5,6,88,753000,5,50
