index,loc,crime,salary
455,455,1,20
456,456,4,80
457,457,3,70
458,458,8,60
459,459,6,90
460,460,2,50
461,461,7,40
462,462,6,40
463,463,4,50
464,464,8,90
465,465,3,30
466,466,4,30
467,467,5,30
468,468,7,70
469,469,5,20
470,470,3,90
471,471,7,50
472,472,9,40
473,473,9,30
474,474,10,30
475,475,10,90
476,476,5,60
477,477,5,70
478,478,8,20
479,479,2,20
480,480,8,50
481,481,9,70
482,482,1,80
483,483,9,50
484,484,10,70
485,485,6,40
486,486,8,20
487,487,3,60
488,488,4,60
489,489,6,70
490,490,4,60
491,491,1,60
492,492,8,50
493,493,8,90
494,494,9,20
495,495,3,50
496,496,1,50
497,497,4,70
498,498,2,90
499,499,10,80
500,500,1,90
501,501,1,50
502,502,3,50
503,503,5,20
504,504,3,60
505,505,10,80
506,506,10,60
507,507,8,20
508,508,2,20
509,509,4,40
510,510,6,40
511,511,5,60
512,512,2,20
513,513,8,50
514,514,9,70
515,515,7,50
516,516,1,20
517,517,5,60
518,518,4,50
519,519,1,40
520,520,2,50
521,521,3,30
522,522,8,40
523,523,9,20
524,524,9,50
525,525,7,20
526,526,1,80
527,527,4,30
528,528,6,90
529,529,7,60
530,530,4,70
531,531,7,20
532,532,4,50
533,533,3,70
534,534,10,20
535,535,10,40
536,536,10,90
537,537,8,90
538,538,7,70
539,539,2,50
540,540,7,70
541,541,1,20
542,542,2,90
543,543,3,90
544,544,6,20
545,545,1,40
546,546,5,70
547,547,3,30
548,548,10,20
549,549,9,20
550,550,6,20
551,551,3,70
552,552,7,80
553,553,4,60
554,554,8,90
555,555,7,40
556,556,6,70
557,557,9,60
558,558,2,50
559,559,1,60
560,560,9,90
561,561,7,90
562,562,9,90
563,563,5,70
564,564,8,50
565,565,3,60
566,566,7,40
567,567,7,50
568,568,6,90
569,569,8,50
570,570,2,40
571,571,2,80
572,572,10,90
573,573,4,50
574,574,2,90
575,575,8,40
576,576,5,20
577,577,7,60
578,578,9,60
579,579,10,20
580,580,3,20
581,581,7,30
582,582,7,60
583,583,2,70
584,584,7,40
585,585,9,70
586,586,7,70
587,587,4,70
588,588,9,50
589,589,8,30
590,590,3,20
591,591,8,70
592,592,2,60
593,593,9,20
594,594,5,20
595,595,8,60
596,596,5,20
597,597,4,30
598,598,7,50
599,599,8,90
600,600,5,20
601,601,8,60
602,602,6,40
603,603,3,70
604,604,2,90
605,605,4,80
606,606,3,90
607,607,10,70
608,608,1,70
609,609,5,50
610,610,8,40
611,611,3,90
612,612,9,60
613,613,1,20
614,614,3,60
615,615,8,60
616,616,1,40
617,617,5,20
618,618,1,40
619,619,6,90
620,620,7,40
621,621,5,70
622,622,1,50
623,623,10,20
624,624,2,60
625,625,6,90
626,626,9,50
627,627,8,80
628,628,8,50
629,629,6,90
630,630,8,30
631,631,3,70
632,632,1,60
633,633,10,50
634,634,3,30
635,635,9,50
636,636,8,40
637,637,4,50
638,638,6,80
639,639,10,80
640,640,4,60
641,641,6,60
642,642,8,20
643,643,9,60
644,644,1,60
645,645,7,40
646,646,5,50
647,647,2,40
648,648,6,90
649,649,3,90
650,650,10,40
651,651,6,30
652,652,9,20
653,653,10,50
654,654,4,50
655,655,4,30
656,656,4,50
657,657,6,40
658,658,6,90
659,659,10,90
660,660,10,50
661,661,4,40
662,662,4,70
663,663,7,20
664,664,3,50
665,665,3,80
666,666,5,90
667,667,1,80
668,668,7,50
669,669,3,80
670,670,8,50
671,671,4,50
672,672,2,90
673,673,8,20
674,674,1,30
675,675,8,90
676,676,1,40
677,677,10,40
678,678,5,70
679,679,1,40
680,680,10,60
681,681,8,20
682,682,4,40
683,683,8,80
684,684,1,40
685,685,2,20
686,686,4,70
687,687,10,20
688,688,1,20
689,689,8,60
690,690,6,20
691,691,7,90
692,692,3,60
693,693,8,60
694,694,7,40
695,695,2,80
696,696,1,20
697,697,5,80
698,698,6,50
699,699,3,80
700,700,3,70
701,701,9,70
702,702,4,20
703,703,7,90
704,704,8,80
705,705,6,40
706,706,2,80
707,707,5,40
708,708,9,30
709,709,1,50
710,710,8,50
711,711,5,50
712,712,2,90
713,713,9,60
714,714,9,30
715,715,6,50
716,716,2,50
717,717,1,90
718,718,10,70
719,719,3,70
720,720,10,90
721,721,4,30
722,722,6,20
723,723,8,80
724,724,10,20
725,725,6,50
726,726,8,30
727,727,9,50
728,728,9,50
729,729,3,80
730,730,6,70
731,731,6,90
732,732,10,40
733,733,10,30
734,734,7,80
735,735,5,60
736,736,7,60
737,737,6,30
738,738,2,70
739,739,2,70
740,740,6,90
741,741,7,30
742,742,3,40
743,743,2,60
744,744,5,20
745,745,3,70
746,746,1,70
747,747,9,50
748,748,3,30
749,749,5,30
750,750,3,30
751,751,10,50
752,752,4,20
753,753,9,80
754,754,2,30
755,755,5,20
756,756,4,90
757,757,3,90
758,758,4,70
759,759,1,70
760,760,4,70
761,761,6,30
762,762,4,80
763,763,6,20
764,764,8,80
765,765,9,40
766,766,10,80
767,767,6,90
768,768,10,20
769,769,7,90
770,770,8,40
771,771,7,80
772,772,6,30
773,773,5,80
774,774,6,20
775,775,6,70
776,776,10,80
777,777,1,90
778,778,5,20
779,779,4,70
780,780,7,40
781,781,8,40
782,782,1,90
783,783,4,30
784,784,5,60
785,785,8,20
786,786,5,20
787,787,10,40
788,788,6,20
789,789,1,70
790,790,2,40
791,791,10,70
792,792,4,50
793,793,5,20
794,794,9,90
795,795,5,50
796,796,6,40
797,797,10,50
798,798,5,60
799,799,7,70
800,800,4,70
801,801,6,80
802,802,8,40
803,803,2,70
804,804,10,80
805,805,4,40
806,806,8,30
807,807,3,80
808,808,5,30
809,809,7,30
810,810,7,80
811,811,9,70
812,812,6,60
813,813,4,40
814,814,2,90
815,815,5,80
816,816,4,60
817,817,7,60
818,818,4,80
819,819,3,20
820,820,4,70
821,821,6,60
822,822,9,60
823,823,4,30
824,824,10,80
825,825,4,70
826,826,5,30
827,827,2,80
828,828,1,80
829,829,9,20
830,830,3,30
831,831,9,60
832,832,5,30
833,833,5,80
834,834,10,30
835,835,10,40
836,836,3,30
837,837,8,70
838,838,7,80
839,839,8,80
840,840,8,40
841,841,4,60
842,842,7,40
843,843,8,30
844,844,6,70
845,845,8,60
846,846,10,60
847,847,7,90
848,848,8,60
849,849,6,90
850,850,5,20
851,851,10,40
852,852,10,30
853,853,10,40
854,854,2,80
855,855,10,60
856,856,6,70
857,857,4,20
858,858,5,60
859,859,4,30
860,860,1,20
861,861,5,30
862,862,3,40
863,863,1,80
864,864,6,90
865,865,10,90
866,866,7,30
867,867,5,80
868,868,3,70
869,869,8,50
870,870,10,70
871,871,9,30
872,872,10,50
873,873,8,50
874,874,10,60
875,875,1,70
876,876,5,20
877,877,9,80
878,878,8,60
879,879,10,50
880,880,3,20
881,881,8,60
882,882,1,50
883,883,8,30
884,884,5,70
885,885,10,80
886,886,3,60
887,887,9,50
888,888,9,50
889,889,9,90
890,890,2,40
891,891,9,70
892,892,2,50
893,893,5,40
894,894,4,20
895,895,6,70
896,896,6,20
897,897,3,20
898,898,7,30
899,899,7,80
900,900,10,90
901,901,5,20
902,902,5,50
903,903,1,40
904,904,9,60
905,905,10,80
906,906,3,70
907,907,9,90
908,908,6,80
909,909,9,50
910,910,1,30
911,911,10,70
912,912,8,30
913,913,8,80
914,914,5,60
915,915,1,70
916,916,4,50
917,917,8,50
918,918,5,90
919,919,5,50
920,920,2,50
921,921,5,20
922,922,5,50
923,923,3,50
924,924,1,80
925,925,2,80
926,926,7,20
927,927,6,90
928,928,1,60
929,929,3,50
930,930,1,20
931,931,10,20
932,932,5,50
933,933,4,40
934,934,9,30
935,935,8,20
936,936,7,40
937,937,10,30
938,938,9,30
939,939,9,40
940,940,8,90
941,941,10,30
942,942,8,60
943,943,10,70
944,944,8,80
945,945,4,70
946,946,9,60
947,947,3,30
948,948,6,40
949,949,9,80
950,950,8,40
951,951,5,50
952,952,10,40
953,953,6,30
954,954,1,20
955,955,7,70
956,956,4,80
957,957,9,50
958,958,5,60
959,959,2,30
960,960,1,50
961,961,10,80
962,962,10,90
963,963,5,80
964,964,3,90
965,965,3,20
966,966,7,90
967,967,5,90
968,968,7,90
969,969,8,60
970,970,1,90
971,971,3,30
972,972,6,40
973,973,2,40
974,974,4,60
975,975,9,70
976,976,3,50
977,977,6,60
978,978,5,90
979,979,5,50
980,980,6,80
981,981,3,80
982,982,4,80
983,983,5,90
984,984,2,60
985,985,6,40
986,986,9,30
987,987,1,60
988,988,1,80
989,989,5,30
990,990,6,90
991,991,2,80
992,992,3,30
993,993,9,90
994,994,1,30
995,995,6,90
996,996,3,60
997,997,3,60
998,998,5,50
999,999,7,50
1000,1000,3,80
1001,1001,1,60
1002,1002,3,70
1003,1003,1,70
1004,1004,8,80
1005,1005,3,70
1006,1006,6,70
1007,1007,6,70
1008,1008,2,90
1009,1009,5,90
1010,1010,2,80
1011,1011,8,80
1012,1012,9,30
1013,1013,10,50
1014,1014,8,30
1015,1015,5,30
1016,1016,5,40
1017,1017,3,80
1018,1018,8,30
1019,1019,9,70
1020,1020,6,90
1021,1021,9,60
1022,1022,3,50
1023,1023,7,40
1024,1024,2,20
1025,1025,10,50
1026,1026,5,70
1027,1027,7,20
1028,1028,2,20
1029,1029,5,90
1030,1030,1,30
1031,1031,6,30
1032,1032,5,50
1033,1033,10,20
1034,1034,7,70
1035,1035,2,30
1036,1036,3,50
1037,1037,3,20
1038,1038,3,60
1039,1039,5,50
1040,1040,9,70
1041,1041,9,20
1042,1042,9,50
1043,1043,1,70
1044,1044,7,70
1045,1045,1,70
1046,1046,4,40
1047,1047,3,50
1048,1048,2,80
1049,1049,1,30
1050,1050,10,40
1051,1051,3,90
1052,1052,10,40
1053,1053,4,60
1054,1054,10,30
1055,1055,1,70
1056,1056,2,20
1057,1057,4,70
1058,1058,1,60
1059,1059,2,60
1060,1060,1,40
1061,1061,4,70
1062,1062,4,60
1063,1063,4,60
1064,1064,10,50
1065,1065,1,40
1066,1066,9,70
1067,1067,3,60
1068,1068,9,90
1069,1069,4,50
1070,1070,6,60
1071,1071,1,50
1072,1072,6,50
1073,1073,3,90
1074,1074,5,60
1075,1075,4,50
1076,1076,2,60
1077,1077,6,90
1078,1078,4,80
1079,1079,7,30
1080,1080,5,80
1081,1081,2,20
1082,1082,10,40
1083,1083,9,50
1084,1084,10,90
1085,1085,1,70
1086,1086,5,30
1087,1087,9,70
1088,1088,4,70
1089,1089,10,60
1090,1090,4,80
1091,1091,4,20
1092,1092,8,50
1093,1093,9,70
1094,1094,7,90
1095,1095,2,80
1096,1096,6,20
1097,1097,9,80
1098,1098,4,60
1099,1099,9,80
1100,1100,9,80
1101,1101,10,90
1102,1102,10,50
1103,1103,9,70
1104,1104,3,30
1105,1105,2,70
1106,1106,8,60
1107,1107,4,40
1108,1108,8,40
1109,1109,8,50
1110,1110,3,60
1111,1111,8,80
1112,1112,5,30
1113,1113,10,50
1114,1114,2,50
1115,1115,1,80
1116,1116,8,60
1117,1117,4,80
1118,1118,8,90
1119,1119,4,40
1120,1120,8,80
1121,1121,3,40
1122,1122,5,60
1123,1123,5,70
1124,1124,4,20
1125,1125,7,80
1126,1126,2,60
1127,1127,8,90
1128,1128,10,50
1129,1129,2,80
1130,1130,6,70
1131,1131,10,50
1132,1132,6,80
1133,1133,6,90
1134,1134,7,60
1135,1135,10,70
1136,1136,10,30
1137,1137,2,50
1138,1138,8,90
1139,1139,10,50
1140,1140,2,60
1141,1141,7,50
1142,1142,1,20
1143,1143,3,50
1144,1144,3,60
1145,1145,7,30
1146,1146,9,80
1147,1147,6,50
1148,1148,8,20
1149,1149,2,80
1150,1150,8,20
1151,1151,2,60
1152,1152,2,40
1153,1153,2,50
1154,1154,3,50
1155,1155,6,90
1156,1156,2,30
1157,1157,9,90
1158,1158,3,50
1159,1159,6,60
1160,1160,9,40
1161,1161,10,80
1162,1162,7,30
1163,1163,4,90
1164,1164,10,90
1165,1165,4,70
1166,1166,9,30
1167,1167,3,90
1168,1168,1,80
1169,1169,8,90
1170,1170,4,20
1171,1171,4,90
1172,1172,1,70
1173,1173,5,40
1174,1174,3,20
1175,1175,4,70
1176,1176,7,30
1177,1177,7,40
1178,1178,5,80
1179,1179,8,90
1180,1180,5,40
1181,1181,10,60
1182,1182,2,30
1183,1183,1,40
1184,1184,5,80
1185,1185,6,80
1186,1186,8,40
1187,1187,1,40
1188,1188,7,40
1189,1189,1,20
1190,1190,10,60
1191,1191,6,90
1192,1192,9,90
1193,1193,3,80
1194,1194,9,90
1195,1195,4,60
1196,1196,3,90
1197,1197,5,50
1198,1198,4,40
1199,1199,4,90
1200,1200,8,50
1201,1201,7,30
1202,1202,7,30
1203,1203,3,60
1204,1204,10,70
1205,1205,2,20
1206,1206,2,60
1207,1207,4,70
1208,1208,4,40
1209,1209,1,80
1210,1210,5,40
1211,1211,8,70
1212,1212,10,40
1213,1213,8,40
1214,1214,5,40
1215,1215,1,20
1216,1216,3,70
1217,1217,7,60
1218,1218,8,40
1219,1219,5,20
1220,1220,10,20
1221,1221,10,90
1222,1222,1,90
1223,1223,8,90
1224,1224,6,30
1225,1225,4,50
1226,1226,9,40
1227,1227,10,60
1228,1228,10,90
1229,1229,10,50
1230,1230,7,60
1231,1231,1,40
1232,1232,4,40
1233,1233,6,30
1234,1234,1,30
1235,1235,10,90
1236,1236,5,90
1237,1237,6,20
1238,1238,2,40
1239,1239,7,70
1240,1240,5,80
1241,1241,7,70
1242,1242,10,70
1243,1243,2,20
1244,1244,3,20
1245,1245,8,50
1246,1246,2,60
1247,1247,4,40
1248,1248,3,80
1249,1249,9,60
1250,1250,10,60
1251,1251,8,70
1252,1252,2,80
1253,1253,1,90
1254,1254,9,80
1255,1255,6,30
1256,1256,10,20
1257,1257,10,80
1258,1258,1,20
1259,1259,9,40
1260,1260,1,30
1261,1261,1,70
1262,1262,7,30
1263,1263,4,60
1264,1264,3,50
1265,1265,4,40
1266,1266,7,20
1267,1267,4,40
1268,1268,1,20
1269,1269,10,90
1270,1270,7,70
1271,1271,5,80
1272,1272,1,80
1273,1273,1,50
1274,1274,10,70
1275,1275,1,50
1276,1276,9,60
1277,1277,1,90
1278,1278,6,70
1279,1279,3,30
1280,1280,4,40
1281,1281,5,50
1282,1282,10,20
1283,1283,4,70
1284,1284,3,60
1285,1285,9,80
1286,1286,1,30
1287,1287,1,50
1288,1288,2,90
1289,1289,1,20
1290,1290,8,70
1291,1291,10,50
1292,1292,2,70
1293,1293,7,90
1294,1294,3,60
1295,1295,10,90
1296,1296,1,90
1297,1297,6,30
1298,1298,2,40
1299,1299,4,80
1300,1300,1,30
1301,1301,7,50
1302,1302,5,30
1303,1303,9,80
1304,1304,1,50
1305,1305,10,70
1306,1306,2,70
1307,1307,8,90
1308,1308,2,80
1309,1309,3,90
1310,1310,8,20
1311,1311,7,70
1312,1312,7,80
1313,1313,8,40
1314,1314,6,40
1315,1315,2,20
1316,1316,10,40
1317,1317,5,40
1318,1318,3,70
1319,1319,7,60
1320,1320,6,70
1321,1321,7,90
1322,1322,3,30
1323,1323,4,50
1324,1324,8,20
1325,1325,10,40
1326,1326,10,20
1327,1327,7,70
1328,1328,6,80
1329,1329,8,60
1330,1330,5,70
1331,1331,8,80
1332,1332,10,90
1333,1333,4,40
1334,1334,9,60
1335,1335,7,90
1336,1336,3,70
1337,1337,4,50
1338,1338,6,30
1339,1339,10,50
1340,1340,2,30
1341,1341,6,40
1342,1342,2,80
1343,1343,2,40
1344,1344,10,70
1345,1345,1,20
1346,1346,7,20
1347,1347,5,90
1348,1348,10,50
1349,1349,2,80
1350,1350,1,80
1351,1351,1,50
1352,1352,7,30
1353,1353,8,60
1354,1354,4,20
1355,1355,7,70
1356,1356,9,40
1357,1357,5,40
1358,1358,7,40
1359,1359,6,60
1360,1360,3,30
1361,1361,6,50
1362,1362,2,30
1363,1363,7,20
1364,1364,1,60
1365,1365,5,50
1366,1366,3,70
1367,1367,4,80
1368,1368,10,90
1369,1369,2,40
1370,1370,8,20
1371,1371,9,60
1372,1372,5,30
1373,1373,8,20
1374,1374,9,80
1375,1375,2,90
1376,1376,8,50
1377,1377,8,90
1378,1378,1,90
1379,1379,8,40
1380,1380,3,50
1381,1381,9,80
1382,1382,1,80
1383,1383,10,80
1384,1384,9,90
1385,1385,10,30
1386,1386,8,50
1387,1387,8,20
1388,1388,7,30
1389,1389,3,50
1390,1390,9,40
1391,1391,2,80
1392,1392,9,70
1393,1393,10,40
1394,1394,2,20
1395,1395,4,90
1396,1396,3,20
1397,1397,8,20
1398,1398,6,20
1399,1399,6,60
1400,1400,1,60
1401,1401,5,50
1402,1402,2,30
1403,1403,6,80
1404,1404,4,30
1405,1405,4,50
1406,1406,4,90
1407,1407,1,20
1408,1408,5,60
1409,1409,7,20
1410,1410,6,20
1411,1411,3,60
1412,1412,8,80
1413,1413,10,70
1414,1414,3,70
1415,1415,6,50
1416,1416,8,90
1417,1417,1,90
1418,1418,1,90
1419,1419,1,20
1420,1420,6,50
1421,1421,4,30
1422,1422,8,80
1423,1423,7,30
1424,1424,8,60
1425,1425,3,80
1426,1426,2,20
1427,1427,9,30
1428,1428,7,40
1429,1429,10,80
1430,1430,2,70
1431,1431,7,80
1432,1432,4,30
1433,1433,9,20
1434,1434,8,60
1435,1435,8,80
1436,1436,3,70
1437,1437,8,90
1438,1438,3,30
1439,1439,4,70
1440,1440,4,80
1441,1441,4,30
1442,1442,1,40
1443,1443,2,90
1444,1444,2,80
1445,1445,3,80
1446,1446,10,90
1447,1447,7,90
1448,1448,5,30
1449,1449,10,60
1450,1450,2,90
1451,1451,7,30
1452,1452,10,70
1453,1453,8,30
1454,1454,6,90
1455,1455,9,50
1456,1456,1,70
1457,1457,3,20
1458,1458,4,80
1459,1459,7,70
1460,1460,7,90
1461,1461,7,50
1462,1462,9,20
1463,1463,2,90
1464,1464,4,20
1465,1465,5,40
1466,1466,4,20
1467,1467,2,90
1468,1468,4,50
1469,1469,6,80
1470,1470,9,80
1471,1471,5,70
1472,1472,5,90
1473,1473,5,20
1474,1474,2,50
1475,1475,3,20
1476,1476,6,50
1477,1477,10,60
1478,1478,5,20
1479,1479,2,30
1480,1480,6,20
1481,1481,7,20
1482,1482,6,50
1483,1483,5,60
1484,1484,7,80
1485,1485,3,50
1486,1486,2,30
1487,1487,3,30
1488,1488,8,50
1489,1489,6,20
1490,1490,7,70
1491,1491,6,50
1492,1492,9,50
1493,1493,3,80
1494,1494,6,40
1495,1495,5,90
1496,1496,3,60
1497,1497,6,20
1498,1498,7,20
1499,1499,2,30
1500,1500,9,90
1501,1501,3,50
1502,1502,9,50
1503,1503,5,20
1504,1504,7,80
1505,1505,2,50
1506,1506,2,90
1507,1507,4,70
1508,1508,1,60
1509,1509,10,20
1510,1510,1,30
1511,1511,9,50
1512,1512,2,30
1513,1513,8,40
1514,1514,9,40
1515,1515,1,70
1516,1516,2,90
1517,1517,3,70
1518,1518,9,60
1519,1519,9,50
1520,1520,7,20
1521,1521,10,20
1522,1522,7,60
1523,1523,9,80
1524,1524,2,40
1525,1525,10,70
1526,1526,2,40
1527,1527,1,40
1528,1528,1,30
1529,1529,5,60
1530,1530,5,70
1531,1531,2,50
1532,1532,9,90
1533,1533,2,20
1534,1534,5,30
1535,1535,3,70
1536,1536,1,60
1537,1537,6,40
1538,1538,9,20
1539,1539,2,40
1540,1540,3,70
1541,1541,9,80
1542,1542,2,50
1543,1543,6,40
1544,1544,5,70
1545,1545,5,60
1546,1546,1,90
1547,1547,7,60
1548,1548,4,70
1549,1549,3,70
1550,1550,3,30
1551,1551,5,30
1552,1552,3,60
1553,1553,9,60
1554,1554,3,90
1555,1555,1,40
1556,1556,6,50
1557,1557,7,80
1558,1558,5,50
1559,1559,4,20
1560,1560,4,40
1561,1561,4,90
1562,1562,1,20
1563,1563,7,90
1564,1564,5,40
1565,1565,7,40
1566,1566,6,80
1567,1567,9,30
1568,1568,9,40
1569,1569,8,20
1570,1570,6,30
1571,1571,9,80
1572,1572,6,20
1573,1573,7,20
1574,1574,7,70
1575,1575,9,80
1576,1576,8,50
1577,1577,4,90
1578,1578,8,40
1579,1579,6,20
1580,1580,4,30
1581,1581,8,60
1582,1582,2,70
1583,1583,10,20
1584,1584,10,90
1585,1585,4,50
1586,1586,1,70
1587,1587,4,30
1588,1588,5,50
1589,1589,7,50
1590,1590,7,20
1591,1591,2,40
1592,1592,9,70
1593,1593,6,40
1594,1594,4,60
1595,1595,6,30
1596,1596,1,90
